subcategory,Dia,mes,dia_num,Tipo Dia,Subregión (SGR),CANTIDAD,Cuarta medida correctiva al Código Nacional de Policía más impuesta ,Fallecidos por siniestros viales,Población total de hombres,Población total de mujeres,Porcentaje población de hombres,Porcentaje población de mujeres,Primera medida correctiva al Código Nacional de Policía más impuesta ,Proporción en que son impuestas otras medidas correctivas al Código Nacional de Policía más impuesta ,Puntaje SISBEN: Promedio - Cabecera,Quinta medida correctiva al Código Nacional de Policía más impuesta ,Segunda medida correctiva al Código Nacional de Policía más impuesta ,Tasa de extorsión por cada 100.000 habitantes,Tasa de exÃ¡menes por presunto delito sexual a mujeres por cada 100 mil habitantes,Tasa de exámenes médico legales por presunto delito sexual contra adolescentes,Tasa de exámenes médico legales por presunto delito sexual contra niños y niñas de 0 a 5 años,Tasa de exámenes médico legales por presunto delito sexual contra niños y nñas de 6 a 11 años,Tasa de homicidio intencional en hombres por cada 100.000 habitantes,Tasa de homicidio intencional en mujeres por cada 100.000 habitantes,Tasa de homicidio intencional en áreas rurales por cada 100.000 habitantes,Tasa de homicidio intencional en áreas urbanas por cada 100.000 habitantes,Tasa de homicidio intencional por cada 100.000 habitantes,Tasa de homicidios en accidentes de tránsito por cada 100.000 habitantes,Tasa de homicidios en hombres por cada 100.000 habitantes,Tasa de homicidios en mujeres por cada 100.000 habitantes,Tasa de homicidios en áreas rurales por cada 100.000 habitantes,Tasa de homicidios en áreas urbanas por cada 100.000 habitantes,Tasa de homicidios por cada 100.000 habitantes,Tasa de hurto a personas por cada 100.000 habitantes,Tasa de hurto común por cada 100.000 habitantes,Tasa de lesiones en accidentes de tránsito por cada 100.000 habitantes,Tasa de secuestro por cada 100.000 habitantes,Tasa de violencia contra adolescentes 12 a 17 años,Tasa de violencia contra niños y niñas de 6 a 11 años,Tasa de violencia contra niños y niñas de primera infancia,Tasa de violencia de pareja a mujeres por cada 100 mil habitantes,Tasa de violencia interpersonal por cada 100.000 habitantes,Tasa de violencia intrafamiliar por cada 100.000 habitantes,Tercera medida correctiva al Código Nacional de Policía más impuesta ,Índice de Interrelación de Problemáticas
Charcutería,Martes,1,4,Laboral,Norte,10.0,1.6199999999999999,3.0,8136.8,8032.4,50.32,49.68,19.403333333333332,4.62,36.04,1.39,4.25,12.576666666666668,76.96,366.6725,165.49666666666667,154.64,72.295,15.575000000000001,53.45333333333334,21.833333333333332,41.45333333333333,10.48,59.485,9.442499999999999,43.645,11.1325,44.112,40.91,69.35,55.56,0.0,409.2625,114.955,73.82,114.44,204.66333333333333,119.255,2.7133333333333334,42.57
Charcutería,Martes,1,4,Laboral,Oriente,12.0,1.2466666666666668,4.833333333333333,14452.8,14653.2,49.656,50.344,19.419999999999998,7.103333333333333,33.57,1.1566666666666667,3.25,9.266666666666667,81.04,338.82500000000005,226.5975,461.995,128.67333333333332,13.724,180.33333333333334,46.6,69.61666666666666,14.488333333333335,87.8625,13.82,126.75750000000001,34.6875,63.41799999999999,142.5533333333333,241.66500000000002,130.64833333333334,0.0,646.5975000000001,665.87,501.3975,127.2,253.38,144.975,1.8166666666666667,27.92
"Lácteos, huevos y refrigerados",Martes,1,4,Laboral,Valle,3.0,2.52,3.8333333333333335,15172.0,16068.4,48.566,51.434000000000005,15.446666666666665,3.8633333333333333,35.89,2.4933333333333336,6.63,13.883333333333333,114.21,396.1825,257.32,289.15999999999997,104.72500000000001,11.3,72.96000000000001,54.296666666666674,55.65166666666667,11.226666666666667,82.97,7.85,48.105000000000004,43.53,57.024,269.27,455.90250000000003,80.055,0.825,650.93,269.33500000000004,223.7,142.17,220.06000000000003,104.47,3.0533333333333332,23.27
Pasabocas,Martes,1,4,Laboral,Norte,12.0,1.3733333333333333,1.8333333333333333,4976.6,5017.6,49.8,50.2,23.22666666666667,4.36,40.72,1.0533333333333332,2.1566666666666667,9.962,64.98467190486303,162.34333333333333,213.25,399.57,60.26833333333334,20.6,75.955,24.4,31.733333333333334,6.1259999999999994,35.1775,5.14,22.0025,19.322499999999998,31.887999999999998,77.41833333333334,220.455,16.363999999999997,0.0,1121.86,549.435,200.4475,96.99,399.82,148.3425,1.8200000000000003,26.12
Pasabocas,Martes,1,4,Laboral,Alto Occidente,6.0,2.1133333333333337,1.0,3094.8,2996.4,50.808,49.192,12.483333333333333,5.96,40.75,1.5433333333333332,6.616666666666667,9.924000000000001,75.02,328.1166666666667,841.59,398.175,32.4125,13.382137469710932,26.25,39.42136023264268,16.4775,16.71,16.490000000000002,0.0,13.365,0.0,10.046000000000001,33.30833333333333,67.275,71.925,4.075,295.4325,266.5325,57.6025,124.97187288569963,72.09333333333332,70.5175,5.283333333333334,22.14
Belleza,Miercoles,1,5,Laboral,Urabá,6.0,0.5566666666666666,10.833333333333334,7293.6,7122.4,50.594,49.408,27.96666666666667,3.003333333333334,31.25,0.42999999999999994,1.3399999999999999,11.761666666666668,28.7,239.54500000000002,90.43333333333334,262.205,179.48666666666668,19.033333333333335,137.485,33.536,95.505,86.25333333333333,184.07750000000001,3.61,138.315,23.71,107.372,81.03,134.585,239.01500000000001,0.0,351.5075,334.6925,67.705,201.95,91.16666666666667,166.82750000000001,0.7066666666666667,93.59
Despensa,Miercoles,1,5,Laboral,Centro,6.0,1.9800000000000002,44.333333333333336,209514.2,234871.0,47.148,52.852,9.253333333333332,10.86,45.71,0.8866666666666666,8.746666666666666,9.345,88.93,282.6225,130.1225,229.76749999999998,23.738333333333333,2.433333333333333,21.363333333333333,11.898333333333333,12.495,8.040000000000001,19.61,2.0425,17.1275,9.86,11.912,317.825,487.3275,151.08166666666668,0.0,558.4449999999999,257.78249999999997,126.7,145.96,252.41333333333333,108.08500000000001,2.28,11.28
Dulces y postres,Miercoles,1,5,Laboral,Bajo Cauca,6.0,0.6966666666666667,18.0,45519.2,48218.6,48.56,51.44,26.763333333333335,1.7300000000000002,24.61,0.6466666666666666,3.0566666666666666,29.548333333333332,33.75,143.575,56.77333333333333,103.0175,186.28333333333333,16.476666666666667,275.48499999999996,74.53666666666668,98.90999999999998,10.031666666666666,180.86499999999998,15.3575,222.685,76.715,106.346,162.42166666666665,271.99,24.736666666666665,0.535,277.395,124.67,59.99,189.54,213.84666666666666,152.5675,1.1033333333333333,33.87
Charcutería,Jueves,1,6,Laboral,Suroeste,15.0,1.1866666666666668,2.1666666666666665,6905.4,7014.4,49.608,50.392,20.66333333333333,3.6,47.76,1.18,4.5600000000000005,8.668,16.38,650.1275,332.19666666666666,489.1225,43.53,14.149999999999999,37.01166666666666,14.511666666666665,23.98,9.1275,25.785,3.57,21.310000000000002,9.545,26.044,55.48666666666666,216.7525,20.62333333333333,0.0,1013.4075,493.61,311.6775,178.32,258.4433333333333,195.0,2.8000000000000003,21.27
Cuidado Personal,Jueves,1,6,Laboral,Centro,10.0,1.9800000000000002,44.333333333333336,209514.2,234871.0,47.148,52.852,9.253333333333332,10.86,45.71,0.8866666666666666,8.746666666666666,9.345,88.93,282.6225,130.1225,229.76749999999998,23.738333333333333,2.433333333333333,21.363333333333333,11.898333333333333,12.495,8.040000000000001,19.61,2.0425,17.1275,9.86,11.912,317.825,487.3275,151.08166666666668,0.0,558.4449999999999,257.78249999999997,126.7,145.96,252.41333333333333,108.08500000000001,2.28,11.28
